,city,position,company_name,company_size,company_type,salary,education,ability,experience
60,武汉-江夏区,数据分析文员（双休+五险一金+带薪年假）,北京洲际阳光投资有限公司,20-99人,民营,4千-6千,本科,数据分析 数据挖掘 数据仓库 数据建模 Python 大数据分析 ,1-3年
61,武汉-洪山区,战略分析实习生,武汉艺画开天文化传播有限公司,100-299人,民营,2千-4千,本科,数据分析 数据采集 行业分析 ,1年以下
62,武汉,政保项目经理岗（数据方向）,泰康养老保险股份有限公司湖北分公司,1000-9999人,合资,6千-8千,本科,数据分析 SQL ,不限
63,武汉,数据分析助理-XG,上海古道商务咨询有限公司,100-299人,民营,3千-6千,大专,数据分析 Python ,1-3年
64,武汉-江夏区,数据分析助理 五险一金/周末双休,辽宁人瑞服务外包有限公司,1000-9999人,民营,4千-6千,大专,数据分析 ,不限
65,武汉,数据处理工程师,北京大数元科技发展有限公司,300-499人,民营,1.2万-2.4万,本科,SQL 数据处理 ,3-5年
66,武汉,综合调度经理（数据分析）,人瑞人力资源服务,1000-9999人,民营,6千-8千,中专/中技,数据挖掘 数据采集 数据建模 商业分析 行业分析 ,不限
67,武汉-洪山区,数据分析,上海辰仕科技发展有限公司,100-299人,民营,1万-2万,本科,Tableau 数据分析 机器学习 数据中台 Python ,3-5年
68,武汉,夜班舆情分析做二休二7K,上海佩琪信息技术有限公司武汉分公司,不限,民营,6千-8千,大专,舆情分析 ,不限
69,武汉,数据分析员,湖北永信行房地产土地资产评估咨询有限公司,20-99人,民营,4千-6千,本科,数据分析 数据挖掘 数据采集 ,1-3年
70,武汉,数据分析,深圳市讯方技术股份有限公司,1000-9999人,股份制企业,1.1万-1.6万,大专,数据分析 数据挖掘 Python ,不限
71,武汉,数据科学工程师(J14759),正大集团,10000人以上,外商独资,8千-1.2万,本科,Python SQL 数据分析 数据挖掘 数据清洗 ,不限
72,武汉-东湖新技术开发区,数据分析/软件算法工程师,金盘科技,1000-9999人,民营,1.2万-2万,本科,Python 数据分析 ,1-3年
73,武汉,大数据分析工程师（五险一金、周末双休）,江西飞尚科技有限公司,100-299人,民营,6千-1.2万,本科,行业分析 数据采集 数据挖掘 数据分析 大数据 ,1-3年
74,武汉-武昌区,商业数据运营/无责3.8K,人瑞人力资源服务,1000-9999人,民营,6千-8千,大专,商业数据分析 数据采集 商业分析 ,不限
75,武汉-东湖新技术开发区,高级生信分析师,北京康普森生物技术有限公司,100-299人,民营,1.1万-2万,硕士,Python GWAS QTL ,1-3年
76,武汉,数据产品经理(J14760),正大集团,10000人以上,外商独资,8千-1.2万,本科,数据分析 数据清洗 数据挖掘 数据建模 大数据分析 ,不限
77,武汉-江夏区,数据分析文员（双休+五险一金+带薪年假）,人瑞人才科技集团有限公司,500-999人,上市公司,6千-8千,本科,数据分析 ,不限
78,武汉,数据分析专员（教育行业）,武汉市洪山区新航道培训学校,1000-9999人,合资,4千-6千,本科,Python 大数据分析 大数据平台 需求分析 Tableau BI Power BI 教育行业 ,1-3年
79,武汉-洪山区,数据质检员,深圳市财富趋势科技股份有限公司武汉研发中心,300-499人,上市公司,5千-8千,本科,SQL Python ,1年以下
80,武汉,地图数据更新员,武汉黄绿蓝科技有限公司,20-99人,民营,4千-6千,大专,数据分析 数据治理 遥感 GIS ,不限
81,武汉-东湖新技术开发区,数学及分析工程师,北京度量科技有限公司,20-99人,民营,8千-1万,本科,数据分析 ,不限
82,武汉-武昌区,数据分析经理,瑞庭网络技术(上海)有限公司武汉分公司,10000人以上,上市公司,1.5万-2.5万,本科,大数据产品 数据管理 数据开发 ,3-5年
83,武汉,长江网研究员,武汉长江新媒体有限公司,20-99人,国企,4千-7千,本科,数据分析 ,不限
84,武汉,数据分析助理,湖北一站通教育管理有限公司,20-99人,民营,2千-4千,大专,数据分析 BI 大数据分析 商业数据分析 行业分析 需求分析 ,不限
85,武汉,gis数据标注员,武汉黄绿蓝科技有限公司,20-99人,民营,4千-6千,大专,数据分析 数据治理 arcgis 遥感 GIS ,不限
86,武汉,基因组项目分析工程师,武汉贝纳科技服务有限公司,20-99人,民营,6千-8千,本科,Python R语言 数据挖掘 需求分析 ,不限
87,武汉,大数据专家,鼎业环保,100-299人,民营,5万-10万,学历不限,数据挖掘 行业分析 商业分析 数据采集 数据建模 需求分析 ,10年以上
88,武汉-江夏区,大数据分析,北京东方通科技股份有限公司,500-999人,民营,2万-4万,本科,数据仓库 数据建模 Hbase Hadoop CLICKHOUSE Spark 大数据分析 Kafka ,3-5年
89,武汉-江夏区,区块链研究员（博士）,远光软件,1000-9999人,上市公司,1.5万-3万,博士,数据分析 算法设计开发 区块链 ,不限
90,武汉,数字化技术开发经理,湖北省电力勘测设计院有限公司,1000-9999人,国企,面议,本科,数据分析 产品研发 产品系统维护 市场开发 ,1-3年
91,武汉-武昌区,PT30200201-机器学习算法工程师,深圳博沃智慧科技有限公司,300-499人,民营,8千-1.5万,本科,机器学习 ,1-3年
