,city,position,company_name,company_size,company_type,salary,education,ability,experience
106,西安,风险政策分析师,新华人寿保险股份有限公司陕西分公司(凌云部),1000-9999人,国企,6千-8千,大专,数据分析 数据清洗 ,3-5年
107,西安-未央区,销售秘书,陕西华鼎建设控股(集团)有限公司,100-299人,民营,4千-6千,大专,数据分析 ,1-3年
108,西安,数据分析,陕西蓝德智慧交通科技有限公司,20-99人,民营,7千-1.2万,本科,数据分析 数据挖掘 SQL Oracle ,1-3年
109,西安,数据分析工程师,西安兰特水电测控技术有限责任公司,20-99人,民营,6千-1.2万,硕士,Matplotlib ,1-3年
110,西安,数据处理工程师,水禾科技有限公司,20-99人,民营,5千-8千,本科,数据分析 数据融合 ,不限
111,西安,数据分析与挖掘工程师,华为技术有限公司,10000人以上,民营,面议,本科,,无经验
112,西安-雁塔区,系统编程工程师,龙源(北京)风电工程技术有限公司,100-299人,国企,1.5万-2万,硕士,数据建模 数据分析 数据治理 数据架构 模型设计 Python MATLAB ,5-10年
113,西安-高新技术产业开发区,数据分析经理/主管,贝壳找房,10000人以上,上市公司,7千-1万,本科,Tableau 数据分析 SQL ,3-5年
114,西安,QA/数据分析,深圳市讯方技术股份有限公司,1000-9999人,股份制企业,9千-1.8万,大专,数据分析 ICT运维 QA ,不限
115,西安-雁塔区,大数据分析,北京中电信联科技发展有限公司,100-299人,民营,8千-1万,本科,Tableau 数据分析 数据挖掘 ,3-5年
116,西安-高新技术产业开发区,数字化工程师,海默集团,1000-9999人,上市公司,6千-1万,本科,ERP ERP  OA ,1-3年
117,西安,内训师/政策解读分析师,三门峡崤云安全服务有限公司,20-99人,国企,4千-8千,大专,培训师 ,3-5年
118,西安-碑林区,数据治理工程师,海康威视,10000人以上,上市公司,8千-1.5万,本科,Hadoop Python SQL ,3-5年
119,西安-雁塔区,大数据分析工程师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,9千-1.8万,本科,Hadoop 数据分析 数据挖掘 大数据分析 ,1-3年
120,西安-雁塔区,大数据分析工程师,北京中电信联科技发展有限公司,100-299人,民营,8千-1万,本科,数据分析 Tableau 数据挖掘 ,3-5年
121,西安-经济技术开发区,数据质量工程师,易宝软件,1000-9999人,上市公司,1.5万-2.5万,本科,数据分析 数据挖掘 数据建模 数据仓库 大数据平台 大数据分析 ,5-10年
122,西安-高新技术产业开发区,数据运营,西安创客村电子商务有限责任公司,100-299人,民营,6千-8千,大专,,3-5年
123,西安-雁塔区,助理数据师（西安）,深圳市世联土地房地产评估有限公司,500-999人,民营,4千-6千,本科,房地产评估 房产调研 房地产数据整理 ,1-3年
124,西安-雁塔区,数据库运维工程师,软通动力信息技术(集团)股份有限公司,10000人以上,民营,1.5万-2万,本科,Python MySQL 数据分析 数据仓库 大数据分析 大数据平台 Linux Shell ,1-3年
125,西安,电力数据治理工程师,西安星晟电子科技有限公司,20-99人,民营,3千-6千,大专,电力系统基础 ,不限
126,西安,数据处理工程师（航管方向）,天和防务,500-999人,上市公司,6千-1万,本科,数据分析 ,3-5年
127,西安,风险政策岗,泰康人寿保险有限责任公司陕西电话销售中心,1000-9999人,民营,6千-8千,本科,数据挖掘 数据分析 行业分析 ,3-5年
128,西安,环境咨询顾问（水环境）,英视睿达,300-499人,民营,6千-1.2万,本科,数据分析 ,1-3年
129,西安-雁塔区,大数据交付SA,软通动力信息技术(集团)股份有限公司,10000人以上,民营,1.5万-2万,大专,大数据 运营商业务 计费 CRM SQL Python ,3-5年
130,西安,基础研究工程师,西安锐益达风电技术有限公司,100-299人,民营,8千-1.2万,本科,MATLAB 信号处理 LabVIEW 仿真 ,1-3年
