,city,position,company_name,company_size,company_type,salary,education,ability,experience
56,天津,数据处理工程师,华科信息,100-299人,股份制企业,8千-1.6万,大专,ETL 数据分析 数据治理 数据中台 ,1-3年
57,天津,大数据安全计算工程师,中汽数据有限公司,500-999人,国企,1万-1.5万,硕士,数据统计分析 ,不限
58,天津-河东区,数据质量岗,渤海银行,1000-9999人,股份制企业,面议,本科,数据治理 ,3-5年
59,天津-河西区,自动化大数据分析师,中启富科技(北京)有限公司,100-299人,民营,7千-1万,大专,数据分析 大数据分析 ,1年以下
60,天津-红桥区,财务共享中心-报告与分析岗,贝壳找房,10000人以上,上市公司,1万-1.5万,本科,数据分析 数据建模 ,3-5年
61,天津,环境分析工程师,聚光科技,1000-9999人,上市公司,5千-8千,大专,行业分析 ,1-3年
62,天津-东丽区,知识产权分析评价师,北京智慧财富资本管理集团有限公司,20-99人,民营,6千-1.2万,本科,知识产权代理 专利顾问 项目申报 专利检索 项目验收 ,3-5年
63,天津-红桥区,业务支持专员,天津特瑞希管理咨询有限公司,20人以下,民营,4千-6千,本科,数据分析 销售业务数据 excel ,不限
64,天津-河西区,大数据分析管培生,中启富科技(北京)有限公司,100-299人,民营,6千-1.2万,大专,数据分析 大数据分析 ,不限
65,天津-南开区,研发主管,天津德茂福科技有限公司,20-99人,民营,2万-3万,本科,数据分析 数据建模 数据清洗 MySQL 大数据分析 决策树 ,5-10年
66,天津,数据库工程师,中汽数据有限公司,500-999人,国企,1万-1.5万,硕士,数据统计分析 ,不限
67,天津-西青区,大数据分析管培生,中启富科技(北京)有限公司,100-299人,民营,6千-1.2万,大专,数据分析 大数据分析 ,不限
68,天津-和平区,自动化大数据分析师,中启富科技(北京)有限公司,100-299人,民营,7千-1万,大专,数据分析 大数据分析 ,1年以下
