,city,position,company_name,company_size,company_type,salary,education,ability,experience
145,成都,WEB日志分析工程师,成都高投生物医药园区管理有限公司,500-999人,民营,8千-1万,本科,数据分析 数据采集 数据挖掘 需求分析 SQL Python ,不限
146,成都-青羊区,数据分析主管（交易）,链家信息技术有限公司,1000-9999人,民营,6千-8千,本科,需求分析 数据分析 ,3-5年
147,成都,投资分析师,成都矽能科技有限公司,20-99人,合资,8千-1.3万,本科,数据分析 行业数据收集 行业研究 ,1-3年
148,成都-天府新区,初级数据服务工程师,文思海辉技术有限公司 Pactera Technology International Limited,1000-9999人,外商独资,面议,大专,数据分析 ,不限
149,成都,游戏数据分析（双休）,成都摩奇创造信息技术有限公司,100-299人,外商独资,8千-1.3万,本科,行业分析 商业分析 SQL Python 手机游戏 ,1-3年
150,成都,稽核大数据分析岗(正式内勤),中国平安人寿保险股份有限公司四川分公司,1000-9999人,上市公司,6千-8千,本科,数据分析 ,3-5年
151,成都-高新区,电力交易分析师,成都硕电科技有限公司,20-99人,民营,6千-9千,本科,行业分析 商业分析 逻辑思维 写作能力 ,1-3年
152,成都-武侯区,数据主管,四川玖优创信息科技有限公司,20-99人,民营,5千-7千,本科,数据分析 数据挖掘 数据采集 ,3-5年
153,成都,数据分析专员（包两餐+五险一金）,湖南潭州教育网络科技有限公司成都分公司,1000-9999人,民营,3.5千-5千,大专,数据分析 SPSS excel 表格函数 需求分析 ,1-3年
154,成都,数据标记工程师,弘和通讯,300-499人,民营,3千-4千,本科,数据分析 数据标记 ,1-3年
155,成都-高新区,IT数据分析经理/9k-14k,东方天呈信息产业集团有限公司,500-999人,民营,9千-1.4万,本科,数据分析 BI SQL 数据治理 ,3-5年
156,成都,大数据分析工程师（中级）,成都主导科技有限责任公司,500-999人,民营,1.5万-2万,硕士,数据分析 Python 数据挖掘 大数据分析 ,3-5年
157,成都-武侯区,遥感数据处理系统设计师,北京四象爱数科技有限公司,20-99人,民营,2万-3万,硕士,遥感 MATLAB 模型设计 数据建模 数据采集 Python ,1-3年
158,成都,地产需求分析师（招商蛇口）,深圳市睿服科技有限公司,500-999人,股份制企业,1万-1.5万,大专,商业分析 需求分析 数据挖掘 ,1-3年
159,成都,高级量化分析师,成都有据量化科技有限公司,20-99人,民营,7千-1.4万,本科,量化分析 ,1-3年
160,成都,大数据分析工程师（初级）,成都主导科技有限责任公司,500-999人,民营,1万-1.4万,硕士,数据分析 数据挖掘 Python 大数据分析 ,1-3年
