,city,position,company_name,company_size,company_type,salary,education,ability,experience
128,广州,商品主管/商品计划分析师,名创优品,10000人以上,民营,1万-1.5万,本科,统计学 商品计划 ,3-5年
129,广州,初级数据分析助理 6-8K,广州达信数据科技有限公司,20-99人,其它,6千-8千,大专,数据分析 Tableau BI SQL ,1-3年
130,广州-天河区,数据分析专员,广州市优贝教育科技有限公司,100-299人,民营,8千-1.5万,本科,数据分析 ,1-3年
131,广州,数据分析员/数据专员,广州巴伽娱乐传媒有限公司,100-299人,合资,5千-1万,本科,数据分析 ,1-3年
132,广州-天河区,数据分析助理（周末双休）,广州帝诺科技有限公司,100-299人,民营,8千-1.5万,大专,数据分析 数据挖掘 BI ETL 数据采集 大数据平台 大数据分析 数据仓库 ,不限
133,广州,零售银行商业分析经理（恒生）,汇丰环球,10000人以上,外商独资,1万-2万,本科,数据分析 金融 ,3-5年
134,广州,计划数据分析/计划统筹(J10270),林氏木业,1000-9999人,民营,7千-9千,本科,数据挖掘 商业分析 数据采集 ,3-5年
135,广州,数据处理员（可实习）,广州仓实信息科技有限公司,20-99人,民营,4千-6千,学历不限,不动产 数据分析 数据处理 excel 档案整理核对 数据内业 ,不限
136,广州,数据分析工程师（双休+14薪）,广州中港科技有限公司,100-299人,民营,6千-8千,大专,数据分析 大数据分析 数据清洗 数据监控 数据采集 ,1年以下
137,广州-南沙区,数据分析与挖掘实习生（中科智城）,广州中国科学院软件应用技术研究所,100-299人,事业单位,1.5千-2.5千,本科,数据分析 数据仓库 大数据分析 大数据平台 数据监控 数据采集 回归分析 数据架构 ,不限
138,广州,数据分析员+五险一金,广州帝诺科技有限公司,100-299人,民营,6千-1.2万,大专,excel SQL ,1-3年
139,广州,数据工程师,广州市华广计算机软件有限公司,20-99人,其它,5千-9千,大专,数据分析 ,1-3年
140,广州-黄埔区,数据实习生,广州宏途教育网络科技有限公司,100-299人,民营,2千-3千,大专,数据分析 ,1-3年
141,广州-南沙区,售后坏件分析员,广东芬尼克兹节能设备有限公司,1000-9999人,民营,5千-7千,大专,数据分析 数据建模 数据采集 ,1-3年
142,广州-天河区,业务数据员 均6k+ 双休 朝九晚六 五险一金,辽宁人瑞普惠人力资源服务有限公司,100-299人,民营,6千-8千,大专,数据分析 Python 需求分析 数据挖掘 行业分析 ,不限
143,广州-天河区,双休数据分析专员/助理（包吃住）,广州帝诺科技有限公司,100-299人,民营,5千-8千,本科,技术 助理 数据分析 大数据分析 ,不限
144,广州-白云区,数据分析(东呈会),东呈国际集团,10000人以上,民营,1万-1.3万,本科,数据分析 收益管理 ,1-3年
145,广州-荔湾区,数据分析实习生（企业运营方向）,广州医药股份有限公司,1000-9999人,合资,2千-3千,学历不限,数据分析 运营 项目管理 ,不限
146,广州-天河区,数据分析专员,广州鹰金钱食品集团有限公司,500-999人,国企,3千-5千,大专,数据分析 数据仓库 ,1-3年
147,广州-黄埔区,数据处理员-餐补-五险一金-绩效奖金,辽宁人瑞普惠人力资源服务有限公司,100-299人,民营,7千-9千,大专,数据分析 需求分析 数据监控 数据挖掘 ,不限
148,广州-天河区,数据员,广东省家庭医生协会,20-99人,其它,7千-1.4万,大专,数据分析 ,1-3年
149,广州,数据分析助理,广州帝诺科技有限公司,100-299人,民营,6千-1万,大专,SQL ,1-3年
150,广州,数据分析员（应届毕业生也可）,广东腾达庆红汽车有限公司,20-99人,民营,5千-7千,大专,数据分析 数据挖掘 数据清洗 数据监控 深度学习 需求分析 行业分析 数据建模 ,1-3年
151,广州-天河区,SAP数据专员,亿达信息技术有限公司深圳分公司,1000-9999人,民营,6千-9千,本科,SAP 数据处理 excel 英语能力 Power BI 数据透视 主数据系统 ,1-3年
152,广州-天河区,数据分析专员/双休,广州达信数据科技有限公司,20-99人,其它,7千-1万,本科,SQL 商业数据分析 需求分析 数据清洗 数据分析 ,1-3年
153,广州,营销数据分析经理(J10274),深圳前海新心数字科技有限公司,500-999人,民营,2万-3万,本科,数据分析 ,5-10年
154,广州-天河区,数据分析员/8K以上,广州帝诺科技有限公司,100-299人,民营,8千-1.5万,大专,数据分析 数据挖掘 BI 大数据分析 大数据平台 ETL SQL ,不限
155,广州-天河区,AI智能训练师（偏客服和数据）,深圳前海云彩投资有限公司,100-299人,国企,8千-1.2万,大专,客服管理 在线客服 售后客服 投诉客服 客服质检 售前客服 ,1-3年
156,广州,数据运营,深圳科迪新汇信息科技有限公司广州分公司,100-299人,民营,8千-1.5万,大专,数据分析 数据挖掘 ,1-3年
157,广州-天河区,数据治理工程师,广州宝巨信息技术有限公司,20-99人,民营,1.5万-3万,本科,数据建模 数据治理 数据分析 数据中台 大数据平台 ,3-5年
158,广州-天河区,数据分析,彩讯科技,1000-9999人,民营,7千-1.2万,本科,数据分析 Python SQL SPSS ,3-5年
