,city,position,company_name,company_size,company_type,salary,education,ability,experience
240,深圳-坪山区,数据分析工程师,深圳市新产业生物医学工程股份有限公司,1000-9999人,上市公司,1万-1.5万,本科,数据分析 ,不限
241,深圳-南山区,数据/产品经理（金融数据分析能力）,深圳市尚鼎咨询管理有限公司,20人以下,民营,1.5万-2.5万,本科,数据分析 数据清洗 SQL MySQL SQL Server 商业分析 大数据分析 ,3-5年
242,深圳,系统分析员（SE）,深圳市人才服务中心(深圳市人才大市场),300-499人,事业单位,1.5万-2万,本科,数据分析 需求分析 ,1-3年
243,深圳,数仓工程师,深圳泊寓,1000-9999人,民营,1万-2万,本科,数据分析 数据挖掘 数据仓库 ,3-5年
244,深圳-宝安区,网络安全员/包吃住,深圳市中野泰鸿科技有限公司,20-99人,民营,5.5千-8.5千,中专/中技,数据分析 数据架构 商业数据分析 数据采集 数据建模 机器学习 ,无经验
245,深圳,急聘：（数据分析工程师）,深圳市天思众科技有限公司,100-299人,民营,4千-6千,中专/中技,数据分析 ,不限
246,深圳,统计工程师,顺络电子,1000-9999人,股份制企业,8千-1.5万,本科,数据分析 数据建模 ,1-3年
247,深圳-福田区,数据管理助理,中南国际人力资源(深圳)有限公司,10000人以上,民营,7千-9千,大专,数据分析 Python SQL excel ,1-3年
248,深圳,运营数据分析（热爱RPG）-腾讯,中软国际,10000人以上,上市公司,面议,本科,数据分析 Python BI SQL ,不限
249,深圳-福田区,数据分析管培生,太平洋产险,10000人以上,股份制企业,6千-7千,本科,数据分析 计算机 精算 大数据分析 ,不限
250,深圳,服务台,深圳市中盾联投软件有限公司,20-99人,民营,8千-1万,本科,自动化运维 Python ITSM ,1-3年
251,深圳-福田区,运营分析岗（SZZ3502）,招银云创信息技术有限公司,500-999人,股份制企业,8千-1.5万,本科,数据分析 运营管理 运营分析 项目管理 ,1-3年
252,深圳,系统分析员,上海成玙信息科技有限公司,20-99人,民营,6千-8千,大专,数据建模 数据分析 数据挖掘 数据仓库 数据治理 ,不限
253,深圳-罗湖区,大数据分析专家(J11365),闻泰通讯,1000-9999人,外商独资,5万-6万,本科,数据分析 ,5-10年
254,深圳,数据分析主管,贝壳找房(深圳)科技有限公司,1000-9999人,股份制企业,1万-1.5万,本科,数据分析 销售业务数据 统计学 ,3-5年
255,深圳,数据分析主管-互联天下,周大生珠宝,1000-9999人,上市公司,1.5万-2万,大专,数据建模 数据监控 数据采集 数据分析 数据清洗 BI 数据挖掘 数据仓库 ,3-5年
256,深圳-龙岗区,QC5092-物流大数据高级分析师,顺丰速运,20-99人,民营,2.5万-3.5万,本科,物流大数据高级分析师 ,5-10年
257,深圳-南山区,量化分析师,深圳市君如资产管理顾问有限公司,20-99人,民营,1.4万-1.6万,硕士,量化分析 宏观分析 模型搭建 ,1-3年
258,深圳-南山区,系统分析师/产品经理,埃林哲,100-299人,上市公司,1万-1.8万,本科,Java MySQL 数据分析 ,3-5年
259,深圳-龙岗区,业务分析工程师,上海易立德信息技术股份有限公司,1000-9999人,民营,1.5万-2万,本科,数据分析 需求分析 ,5-10年
260,深圳,保险业务数据分析岗,太平金科,1000-9999人,国企,1.5万-2万,本科,数据分析 Tableau ,5-10年
261,深圳-福田区,人力资源数据分析,深圳万科祥盈管理服务有限公司,1000-9999人,上市公司,1.5万-2万,本科,数据分析 数据清洗 SQL Python ,3-5年
262,深圳-龙岗区,数据专员,深圳市以学教育科技有限公司,1000-9999人,民营,7千-1万,本科,数据分析 数据挖掘 数据建模 大数据平台 SQL ,1-3年
263,深圳,数据资产岗,渤海银行,1000-9999人,股份制企业,面议,本科,数据分析 数据治理 ,3-5年
264,深圳-福田区,Consultant Trainee （FP&amp;A),凯渤管理咨询(上海)有限公司,300-499人,外商独资,7千-1.4万,本科,数据分析 数据建模 Power BI 大数据分析 咨询顾问 管培生 ,不限
265,深圳,投资数据分析岗,太平金科,1000-9999人,国企,1.5万-2万,本科,数据分析 Tableau ,5-10年
266,深圳-福田区,数据管理助理,中深国际建筑安装工程(深圳)有限公司,20-99人,民营,7千-1.4万,大专,Oracle MySQL SQL 数据建模 数据分析 ,1-3年
267,深圳,数据开发师,文思海辉技术有限公司 Pactera Technology International Limited,1000-9999人,外商独资,面议,大专,,1-3年
268,深圳,数据分析主管,招商信诺,1000-9999人,合资,1.8万-2.6万,本科,数据分析 数据建模 Linux 用户画像 ,5-10年
269,深圳-福田区,数据模型师,上海吉贝克信息技术有限公司,500-999人,外商独资,1.2万-2万,本科,模型设计 数据库 数据仓库 数据集市 多维数据模型 ,3-5年
270,深圳-南山区,实施工程师（业务中台）,中国旅游集团,10000人以上,国企,1.5万-3万,本科,数据分析 大数据分析 大数据平台 数据采集 商业数据分析 数据中台 ,3-5年
271,深圳,数据治理岗(J10186),富德保险控股股份有限公司,10000人以上,股份制企业,1.6万-2.5万,本科,数据挖掘 数据分析 数据清洗 数据仓库 ,1-3年
272,深圳-龙华区,data analyst,恩士迅信息科技（上海）有限公司,100-299人,外商独资,2万-3万,大专,数据建模 Python R语言 SQL NoSQL ,3-5年
273,深圳-福田区,数据治理,外企德科,1000-9999人,合资,8千-1.2万,本科,Tableau 数据分析 Python SQL ,1-3年
274,深圳,数据标准化工程师,中国燃气,10000人以上,上市公司,1.8万-3.6万,本科,SQL ETL 数据建模 大数据平台 数据标准化 ,3-5年
275,深圳-龙华区,数据治理工程师,易宝软件,1000-9999人,上市公司,1.5万-2万,本科,Python SQL ,3-5年
276,深圳,FA分析工程师,深圳市信展通电子有限公司,100-299人,民营,6千-8千,大专,FA分析技术员 数据分析 ,1-3年
277,深圳-南山区,数据产品经理,深圳市华云中盛科技股份有限公司,500-999人,民营,2万-3万,大专,Python Tableau SQL R语言 需求分析 电商 ,3-5年
278,深圳-福田区,风险模型分析师,深圳风豹,1000-9999人,民营,1.5万-3万,本科,金融 数据分析 SQL Python 机器学习 风控模型 ,1-3年
279,深圳-宝安区,经营分析师,深圳市腾拓科技有限公司,100-299人,民营,7千-1.2万,大专,数据分析 销售业务数据 经营分析 财务预算 ,1-3年
280,深圳-龙岗区,数据维护专员,深圳朗生整装科技有限公司,500-999人,民营,6千-8千,大专,家具软件 ,1-3年
281,深圳,大数据工程师（南京科创）,航天工研院,1000-9999人,国企,2.5万-3.5万,本科,数据挖掘 数据采集 Python SQL ,5-10年
282,深圳,封装行业/FA分析技术员,深圳市信展通电子有限公司,100-299人,民营,6千-9千,大专,FA分析技术员 品质技术员 质量管理 ,3-5年
283,深圳,华为LTE后台分析工程师,深圳市讯方技术股份有限公司,1000-9999人,股份制企业,5千-8千,大专,数据分析 LTE后台经验 LTE网格优化 ,不限
284,深圳,数据治理项目经理(J10149),富德保险控股股份有限公司,10000人以上,股份制企业,1.5万-2.5万,本科,数据采集 数据建模 数据挖掘 需求分析 数据治理 ,5-10年
285,深圳,化工行业研究员/期货分析师,葆润控股集团有限公司,100-299人,民营,1.2万-2.4万,本科,投资分析 风险分析 量化分析 ,5-10年
286,深圳,音儿事业部-商品专员（货品）,影儿时尚集团,1000-9999人,民营,6千-8千,本科,商业分析 数据采集 ERP 商品分析 ,1-3年
287,深圳,运营经理,哈尔滨长荣信息科技有限公司,300-499人,民营,1万-1.5万,本科,数据分析 数据挖掘 Python 数据仓库 ,3-5年
288,深圳-南山区,价值调查/分析专员,湖南智汇文化传播有限公司,20-99人,民营,6千-8千,本科,数据分析 互联网计算行业 客户运营 ,1-3年
289,深圳,Smartcare平台交付工程师,FIRST POINT GROUP LIMITED,20-99人,外商独资,4.8万-5万,大专,数据分析 数据挖掘 大数据分析 数据采集 数据建模 ,5-10年
290,深圳,OM流程支持资深工程师,深圳天马微电子有限公司,10000人以上,国企,1万-1.5万,大专,回归分析 ,3-5年
